query_id,name,description,tags,query_engine,query_sql,is_private,is_archived,owner,g1,g2,g3,g4,g5
186,"real yield protocol ranking","","[""defi"",""yield""]",v2 Dune SQL,"WITH revenue AS (...) emissions AS (...) SELECT protocol_category, revenue_30d, emissions_30d, revenue_30d - emissions_30d AS real_yield ORDER BY real_yield DESC",false,false,synthetic,defi,yield,real_yield_ranking_leaderboard,category|revenue|emissions|real_yield,leaderboard
187,"multisig transaction queue","","[""identity""]",v2 Dune SQL,"SELECT safe_address, nonce, to, value, data, confirmations, threshold FROM pending_txns WHERE safe = 0x... ORDER BY nonce",false,false,synthetic,identity,multisig,multisig_pending_queue_snapshot,safe|nonce|to|value|confirmations|threshold,snapshot
188,"layer2 tps comparison","","[""infrastructure""]",v2 Dune SQL,"WITH daily_tps AS (...) SELECT chain, avg_tps, max_tps, tx_count_24h ORDER BY avg_tps DESC",false,false,synthetic,infrastructure,rollup,layer2_throughput_comparison_leaderboard,chain|avg_tps|max_tps|tx_count,leaderboard
189,"token buyback events","","[""tokenomics""]",v2 Dune SQL,"SELECT block_time, amount, price, total_usd, source_wallet FROM buybacks ORDER BY block_time DESC",false,false,synthetic,tokenomics,buybacks,token_buyback_events_series,time|amount|price|usd|wallet,series
190,"account abstraction wallets","","[""infrastructure""]",v2 Dune SQL,"SELECT block_time, sender, paymaster, gas_sponsored, entry_point FROM user_ops ORDER BY block_time DESC",false,false,synthetic,infrastructure,account_abstraction,account_abstraction_ops_series,time|sender|paymaster|gas|entry_point,series
191,"rollup cost comparison","","[""infrastructure""]",v2 Dune SQL,"WITH costs AS (...) SELECT chain, avg_l1_cost, avg_l2_cost, savings_pct, batch_count_24h ORDER BY savings_pct DESC",false,false,synthetic,infrastructure,rollup,rollup_cost_comparison_snapshot,chain|l1_cost|l2_cost|savings_pct|batches,snapshot
192,"wallet profitability analysis","","[""activity""]",v2 Dune SQL,"WITH buys AS (...) sells AS (...) SELECT address, total_invested, total_returned, pnl, roi_pct, win_rate ORDER BY roi_pct DESC LIMIT 100",false,false,synthetic,activity,trading,top_profitable_wallets_leaderboard,address|invested|returned|pnl|roi|win_rate,leaderboard
193,"restaking operator list","","[""defi"",""staking""]",v2 Dune SQL,"SELECT operator, total_staked, delegators, commission_rate, status FROM operators ORDER BY total_staked DESC",false,false,synthetic,defi,staking,staking_operator_registry,operator|staked|delegators|commission|status,registry
194,"nft rarity ranking","","[""nft""]",v2 Dune SQL,"WITH rarity_scores AS (...) SELECT token_id, rarity_score, rank, trait_count FROM scores ORDER BY rank ASC",false,false,synthetic,nft,metadata,token_rarity_ranking_leaderboard,token_id|rarity_score|rank|traits,leaderboard
195,"option expiry calendar","","[""defi"",""derivatives""]",v2 Dune SQL,"SELECT expiry_date, strike_price, option_type, open_interest, notional_value FROM options WHERE expiry_date > now() ORDER BY expiry_date",false,false,synthetic,defi,derivatives,options_expiry_calendar_series,expiry|strike|type|oi|notional,series
196,"duplicate contract bytecode","","[""infrastructure""]",v2 Dune SQL,"WITH bytecodes AS (...) SELECT bytecode_hash, COUNT(*) AS deployment_count, ARRAY_AGG(contract_address) AS contracts GROUP BY 1 HAVING COUNT(*) > 1 ORDER BY deployment_count DESC",false,false,synthetic,infrastructure,contracts,duplicate_bytecode_detection_leaderboard,bytecode_hash|deployment_count|contracts,leaderboard
197,"token pair correlation","","[""tokenomics""]",v2 Dune SQL,"WITH daily_returns AS (...) SELECT token_a, token_b, correlation_30d, correlation_90d FROM correlations ORDER BY ABS(correlation_30d) DESC",false,false,synthetic,tokenomics,analytics,token_pair_correlation_snapshot,token_a|token_b|corr_30d|corr_90d,snapshot
198,"validator slash events","","[""infrastructure""]",v2 Dune SQL,"SELECT block_time, validator, slash_amount, reason FROM slashing_events ORDER BY block_time DESC",false,false,synthetic,infrastructure,validators,validator_slash_events_series,time|validator|amount|reason,series
199,"daily stablecoin market share","","[""stablecoins""]",v2 Dune SQL,"WITH supply AS (...) SELECT symbol, total_supply, market_share_pct ORDER BY total_supply DESC",false,false,synthetic,stablecoins,supply,stablecoin_market_share_snapshot,symbol|supply|share,snapshot
200,"token supply breakdown","","[""tokenomics""]",v2 Dune SQL,"SELECT category, amount, pct_of_total FROM supply_breakdown ORDER BY amount DESC",false,false,synthetic,tokenomics,supply,token_supply_breakdown_snapshot,category|amount|pct,snapshot
